id,class_solexs,goes_class,peak_utc,test_period,status,bins,T_peak_MK,T_peak_err_MK,T_max_MK,T_max_before_peak_s,fe_ew_peak_keV,peak_rate_cps,goes_ratio_peak,T_peak_slope1_MK,T_peak_slope1.6_MK,within_flare_spearman_T_goes_ratio,T_cdte_peak_MK,T_cdte_peak_err_MK,T_solexs_same_minute_MK
AL1-20240207-1317,C5.8,C4.9,2024-02-07 13:41:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240207-1740,M1.5,M1.3,2024-02-07 18:04:00,0,ok,96,15.84,0.83,24.51,670.0,1.872,1427.6,0.15616,15.17,17.34,0.874,,,
AL1-20240208-0839,C5.1,C4.3,2024-02-08 08:48:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240208-1125,M1.0,,2024-02-08 11:46:00,0,ok,6,12.92,1.15,16.38,30.0,2.139,1094.2,0.08919,13.46,15.2,,,,
AL1-20240208-1239,M1.1,,2024-02-08 12:51:00,0,ok,14,14.14,1.23,22.58,210.0,2.311,1051.5,0.11932,13.36,15.07,,,,
AL1-20240208-1252,M3.6,M3.4,2024-02-08 13:11:00,0,ok,99,15.41,0.51,21.51,610.0,1.552,3509.8,0.1777,14.41,16.39,0.895,,,
AL1-20240208-1414,M1.2,M1.1,2024-02-08 14:18:00,0,ok,18,18.13,1.46,18.13,10.0,2.027,1295.6,0.10123,16.09,18.48,0.029,,,
AL1-20240208-1518,M2.0,M1.7,2024-02-08 15:22:00,0,ok,11,23.38,1.32,25.67,-10.0,1.996,1069.3,0.21849,23.28,28.25,,,,
AL1-20240208-1613,C7.5,C6.0,2024-02-08 16:21:00,0,ok,15,15.22,1.5,15.9,150.0,0.54,779.4,0.10009,12.97,14.62,,,,
AL1-20240208-1657,C8.7,C6.9,2024-02-08 17:06:00,0,ok,10,19.78,1.43,21.56,30.0,1.914,733.4,0.1664,18.37,21.47,,,,
AL1-20240208-1856,M1.5,M1.3,2024-02-08 19:02:00,0,ok,10,22.05,0.9,24.61,70.0,2.294,1361.8,0.17337,19.65,23.2,,,,
AL1-20240208-2316,M4.2,M3.9,2024-02-08 23:55:00,0,ok,94,15.65,0.4,24.52,1590.0,1.116,4039.6,0.1939,14.29,16.24,0.714,,,
AL1-20240209-0212,C7.3,C6.5,2024-02-09 02:23:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240209-0306,C5.2,,2024-02-09 03:30:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240209-0724,M1.1,C9.3,2024-02-09 07:31:00,0,ok,12,20.6,1.15,22.6,30.0,2.438,883.0,0.17645,17.09,19.8,,,,
AL1-20240209-0810,C6.7,C5.6,2024-02-09 08:16:00,0,ok,3,18.41,1.98,18.41,-10.0,1.092,646.4,0.1137,13.45,15.19,,,,
AL1-20240209-1015,C8.0,C6.2,2024-02-09 10:21:00,0,ok,16,21.38,1.56,23.82,70.0,1.666,664.9,0.17324,19.28,22.69,,,,
AL1-20240209-1252,X3.2,X3.2,2024-02-09 13:13:00,0,ok,90,21.92,0.16,28.83,490.0,0.703,22688.3,0.29603,19.9,23.54,0.991,,,
AL1-20240210-0042,M1.5,M1.5,2024-02-10 00:50:00,0,ok,34,17.63,0.82,23.52,130.0,1.762,1345.7,0.1723,16.11,18.54,0.836,,,
AL1-20240210-0302,M3.2,M3.4,2024-02-10 03:52:00,0,ok,130,12.26,0.46,18.0,1190.0,1.713,3146.7,0.1165,12.6,14.17,0.769,,,
AL1-20240210-0648,C6.7,C7.3,2024-02-10 06:52:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240210-0930,C7.5,,2024-02-10 09:47:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240210-1809,C6.3,C6.1,2024-02-10 18:20:00,0,ok,7,17.78,1.9,21.33,30.0,1.781,591.6,0.10311,16.98,19.65,,,,
AL1-20240210-2256,M7.5,M8.9,2024-02-10 23:07:00,0,ok,32,18.65,0.32,22.49,110.0,1.831,7070.3,0.1935,17.14,19.87,0.903,,,
AL1-20240210-2355,C8.1,C8.6,2024-02-11 00:03:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240211-0033,C6.8,C7.2,2024-02-11 00:38:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240211-2235,M1.1,M1.0,2024-02-11 22:44:00,0,ok,16,14.11,1.04,17.47,110.0,1.823,1075.4,0.1019,13.74,15.57,0.943,,,
AL1-20240212-0135,C5.6,C5.9,2024-02-12 01:39:00,0,ok,1,19.12,2.09,19.12,-30.0,0.927,604.6,0.08732,,,,,,
AL1-20240212-0145,C6.5,C6.2,2024-02-12 01:49:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240212-0324,M6.3,M6.4,2024-02-12 03:47:00,0,ok,24,20.24,0.4,21.17,150.0,2.177,5601.1,0.20454,18.28,21.36,0.905,,,
AL1-20240212-0546,C7.8,C6.9,2024-02-12 05:54:00,0,ok,17,14.81,1.18,21.24,150.0,1.456,765.6,0.11255,13.79,15.62,0.829,,,
AL1-20240212-1252,C9.8,M1.1,2024-02-12 13:07:00,0,ok,33,14.65,1.08,20.53,230.0,1.688,934.6,0.12809,14.82,16.88,0.764,,,
AL1-20240212-1531,M1.2,M1.4,2024-02-12 15:47:00,0,ok,51,14.61,0.93,19.82,350.0,1.897,1214.2,0.12078,14.23,16.17,0.809,,,
AL1-20240212-1828,C6.3,,2024-02-12 18:57:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240212-2029,M2.5,M2.6,2024-02-12 21:17:00,0,ok,105,12.26,0.67,18.96,1850.0,1.521,2534.2,0.10638,11.08,12.33,0.188,,,
AL1-20240214-1639,C5.3,,2024-02-14 17:06:00,0,no fittable bins,,,,,,,,,,,,,,
