id,class_solexs,goes_class,peak_utc,test_period,status,bins,T_peak_MK,T_peak_err_MK,T_max_MK,T_max_before_peak_s,fe_ew_peak_keV,peak_rate_cps,goes_ratio_peak,T_peak_slope1_MK,T_peak_slope1.6_MK,within_flare_spearman_T_goes_ratio,T_cdte_peak_MK,T_cdte_peak_err_MK,T_solexs_same_minute_MK
AL1-20240716-0843,C6.4,C7.2,2024-07-16 08:50:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240716-1247,C5.1,C5.0,2024-07-16 13:06:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240716-1311,X1.8,X1.9,2024-07-16 13:25:00,0,ok,52,21.78,0.21,27.39,330.0,1.353,15016.6,0.28112,19.92,23.56,0.836,,,
AL1-20240716-2105,M1.4,M1.6,2024-07-16 21:23:00,0,ok,60,14.95,0.89,18.97,370.0,2.112,1506.8,0.10743,14.06,15.95,0.775,,,
AL1-20240716-2146,C8.9,,2024-07-16 21:53:00,0,ok,8,17.34,1.76,19.3,-30.0,1.532,979.5,0.07824,18.7,21.85,,,,
AL1-20240716-2154,M1.7,M1.8,2024-07-16 22:06:00,0,ok,37,14.68,1.01,19.18,250.0,2.159,1807.6,0.11262,13.82,15.65,0.769,,,
AL1-20240717-0313,C8.5,C8.6,2024-07-17 03:19:00,0,ok,13,15.62,1.23,18.33,30.0,2.367,859.6,0.10276,14.32,16.28,,,,
AL1-20240717-0626,M4.6,M4.9,2024-07-17 06:38:00,0,ok,75,17.27,0.41,21.96,270.0,1.957,4469.4,0.17549,15.69,18.0,0.874,,,
AL1-20240717-0911,C6.0,,2024-07-17 09:25:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240717-0926,M1.2,M1.2,2024-07-17 09:45:00,0,ok,79,15.28,1.16,23.88,630.0,1.472,1204.5,0.11237,13.75,15.56,0.828,,,
AL1-20240717-1940,M1.2,M1.2,2024-07-17 19:50:00,0,ok,14,15.01,1.13,18.84,30.0,2.194,1135.0,0.10514,14.02,15.91,,,,
AL1-20240717-1953,M1.8,M1.9,2024-07-17 19:58:00,0,ok,19,16.24,1.24,25.75,150.0,2.442,1860.6,0.12208,14.88,16.94,0.657,,,
AL1-20240718-0355,C8.3,C8.1,2024-07-18 04:19:00,0,ok,22,13.75,1.47,18.02,210.0,1.807,840.9,0.0905,12.36,13.87,0.286,,,
AL1-20240718-0524,C6.6,C6.6,2024-07-18 05:32:00,0,ok,12,16.38,1.69,18.83,90.0,1.637,646.2,0.10008,15.84,18.19,,,,
AL1-20240718-0635,C5.1,C5.5,2024-07-18 06:57:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240718-0717,C5.8,,2024-07-18 07:24:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240718-0847,C5.9,C6.3,2024-07-18 09:00:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240718-1009,M2.2,M2.2,2024-07-18 10:14:00,0,ok,53,17.81,0.62,23.84,150.0,1.932,2048.8,0.17848,16.83,19.46,0.745,,,
AL1-20240718-1538,C6.2,C6.2,2024-07-18 15:49:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240718-1606,C6.9,C7.4,2024-07-18 16:20:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240719-0519,C6.6,C6.5,2024-07-19 05:38:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240719-0754,C6.5,C6.5,2024-07-19 08:01:00,0,ok,10,19.64,2.11,21.92,70.0,1.737,651.2,0.10216,12.47,14.02,,,,
AL1-20240719-0813,M3.1,M3.1,2024-07-19 08:22:00,0,ok,36,18.86,0.55,22.45,150.0,1.734,2867.1,0.1822,16.78,19.4,0.867,,,
AL1-20240719-1139,C6.0,C6.2,2024-07-19 12:00:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240719-1353,C8.6,C8.6,2024-07-19 14:01:00,0,ok,13,15.72,1.33,16.93,50.0,1.963,845.5,0.1015,15.73,18.04,,,,
AL1-20240719-1756,M2.1,M2.0,2024-07-19 18:05:00,0,ok,61,17.27,0.72,24.61,150.0,1.988,1800.7,0.1706,15.86,18.22,0.93,,,
AL1-20240719-2227,C8.5,C8.6,2024-07-19 22:37:00,0,ok,27,14.76,1.24,19.66,130.0,3.275,849.9,0.10449,13.45,15.2,0.857,,,
AL1-20240719-2245,C9.6,M1.0,2024-07-19 22:52:00,0,ok,1,14.68,2.07,14.68,70.0,2.031,969.1,0.08522,,,,,,
AL1-20240720-0012,C8.6,C9.3,2024-07-20 00:23:00,0,ok,28,13.03,1.43,18.91,250.0,2.005,897.8,0.07354,13.69,15.5,0.709,,,
AL1-20240720-0528,C6.9,C6.8,2024-07-20 05:33:00,0,ok,10,18.9,1.73,19.87,50.0,1.409,621.9,0.11009,14.74,16.81,,,,
AL1-20240720-0714,M1.7,M1.8,2024-07-20 07:20:00,0,ok,16,17.19,0.71,20.2,70.0,2.789,1743.5,0.1535,16.5,19.04,,,,
AL1-20240720-1315,C6.8,C6.8,2024-07-20 13:24:00,0,ok,8,14.4,1.52,18.52,70.0,1.509,683.5,0.08812,12.03,13.48,,,,
AL1-20240720-1835,M1.5,M1.5,2024-07-20 18:48:00,0,ok,44,19.23,1.02,19.92,170.0,1.645,1476.0,0.14661,17.08,19.77,0.789,,,
AL1-20240720-2124,C5.3,C5.6,2024-07-20 21:38:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240720-2228,C6.9,C6.8,2024-07-20 22:46:00,0,ok,12,15.86,1.68,18.5,670.0,1.722,727.0,0.08376,15.79,18.12,,,,
AL1-20240721-0202,C7.5,C7.4,2024-07-21 02:07:00,0,ok,8,17.16,1.59,18.74,-10.0,2.215,648.5,0.1138,15.43,17.67,,,,
AL1-20240721-0232,C5.6,,2024-07-21 02:37:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240721-0337,M1.4,M1.4,2024-07-21 03:55:00,0,ok,18,15.71,0.88,20.16,70.0,2.077,1379.7,0.10948,14.34,16.3,0.771,,,
AL1-20240721-0736,C6.0,C6.0,2024-07-21 07:43:00,0,ok,4,14.82,1.68,16.53,-30.0,2.918,605.7,0.09427,11.5,12.83,,,,
AL1-20240721-0829,M1.4,M1.4,2024-07-21 08:34:00,0,ok,25,17.71,0.89,21.02,110.0,2.127,1426.2,0.1506,15.51,17.78,0.881,,,
AL1-20240721-1213,C5.6,C5.4,2024-07-21 12:18:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240721-1230,C5.5,C5.8,2024-07-21 12:38:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240721-1619,C8.7,M1.0,2024-07-21 16:30:00,0,ok,1,14.24,1.65,14.24,-50.0,0.236,926.2,0.06509,11.06,12.29,,,,
AL1-20240721-2146,C5.2,C5.4,2024-07-21 21:56:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240721-2321,M3.2,M3.2,2024-07-21 23:27:00,0,ok,23,23.2,1.16,25.4,-10.0,2.283,1079.2,0.25138,22.82,27.6,0.929,,,
AL1-20240722-0931,M1.4,M1.4,2024-07-22 09:35:00,0,ok,18,15.56,0.82,19.92,70.0,2.3,1255.6,0.13172,15.63,17.91,0.486,,,
AL1-20240722-1214,C6.0,C5.9,2024-07-22 12:24:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240722-1248,M1.5,M1.5,2024-07-22 13:00:00,0,ok,30,18.71,1.08,18.71,10.0,1.807,1186.5,0.11743,16.15,18.59,0.891,,,
AL1-20240722-1520,C9.6,C8.9,2024-07-22 15:26:00,0,ok,24,20.08,1.36,24.8,70.0,2.308,644.0,0.13235,18.0,20.99,0.643,,,
AL1-20240722-1543,C8.6,C7.8,2024-07-22 15:47:00,0,ok,18,16.4,1.34,24.92,130.0,1.689,611.0,0.12987,15.69,17.98,0.943,,,
AL1-20240722-1721,C5.1,C4.4,2024-07-22 17:27:00,0,ok,4,18.25,2.04,18.25,10.0,1.517,306.9,0.10636,17.21,19.94,,,,
AL1-20240723-0907,C9.2,C8.4,2024-07-23 09:12:00,0,ok,11,20.46,1.34,20.46,10.0,1.972,581.4,0.14632,19.36,22.8,,,,
AL1-20240723-1348,M2.2,M2.4,2024-07-23 14:25:00,0,ok,83,13.61,0.64,19.38,1230.0,1.527,2038.0,0.11426,12.1,13.58,0.369,,,
AL1-20240723-2232,C5.4,C4.8,2024-07-23 22:39:00,0,ok,7,14.01,1.61,20.53,30.0,3.016,334.5,0.12183,15.84,18.18,,,,
AL1-20240723-2325,C5.3,C5.0,2024-07-23 23:34:00,0,ok,4,12.78,1.5,15.64,50.0,1.711,341.9,0.09354,,,,,,
AL1-20240724-0731,M3.5,M3.6,2024-07-24 07:42:00,0,ok,41,17.65,0.5,22.7,390.0,2.1,3257.9,0.17383,16.94,19.6,0.637,,,
AL1-20240724-1708,M3.2,M2.9,2024-07-24 17:21:00,0,ok,32,19.01,0.53,20.76,330.0,1.998,2690.3,0.19828,16.99,19.67,0.988,,,
AL1-20240724-1758,C6.7,C6.8,2024-07-24 18:26:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240725-0023,C8.3,C8.3,2024-07-25 00:40:00,0,ok,20,16.66,1.7,16.66,10.0,1.127,603.4,0.08622,13.96,15.82,0.771,,,
AL1-20240725-0122,C5.3,C5.1,2024-07-25 01:29:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240725-0155,C9.6,C9.0,2024-07-25 02:03:00,0,ok,28,16.75,1.12,19.93,110.0,2.495,703.6,0.1443,15.54,17.81,0.855,,,
AL1-20240725-1528,M1.4,M1.3,2024-07-25 15:37:00,0,ok,28,15.96,0.84,21.78,130.0,2.395,1132.2,0.14719,15.38,17.61,0.85,,,
AL1-20240726-0142,C8.0,C7.3,2024-07-26 01:51:00,0,ok,18,13.91,1.6,18.67,210.0,1.373,551.5,0.10314,14.47,16.44,-0.107,,,
AL1-20240726-0431,M1.7,M1.7,2024-07-26 04:42:00,0,ok,30,18.65,0.81,22.57,110.0,2.654,1254.8,0.17767,17.58,20.44,0.952,,,
AL1-20240726-0915,C5.2,C5.1,2024-07-26 09:19:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240726-1129,C5.9,,2024-07-26 11:59:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240727-0221,M3.9,M4.1,2024-07-27 02:37:00,0,ok,43,18.07,0.48,19.41,150.0,1.934,3688.8,0.16381,16.77,19.39,0.693,,,
AL1-20240727-0504,M1.1,,2024-07-27 05:29:00,0,ok,30,14.79,1.06,18.19,-10.0,1.937,841.8,0.11956,15.5,17.76,0.079,,,
AL1-20240727-0530,M3.0,M3.0,2024-07-27 05:46:00,0,ok,90,16.37,0.67,22.5,530.0,1.721,2676.1,0.15992,14.84,16.93,0.859,,,
AL1-20240727-0819,C5.9,C6.1,2024-07-27 08:26:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240727-0950,C5.7,C5.2,2024-07-27 09:57:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240727-1012,M2.1,M2.0,2024-07-27 10:40:00,0,ok,111,16.92,0.71,18.93,770.0,1.407,1727.7,0.16647,15.2,17.38,0.559,,,
AL1-20240727-1745,M2.7,M2.7,2024-07-27 18:06:00,0,ok,50,16.77,0.6,26.08,450.0,1.965,2413.5,0.15255,16.0,18.4,0.755,,,
AL1-20240727-1823,M3.4,M3.4,2024-07-27 18:39:00,0,ok,65,17.42,0.54,25.22,690.0,1.626,3044.8,0.16896,16.43,18.93,0.603,,,
AL1-20240728-0139,M9.3,M9.7,2024-07-28 01:57:00,0,ok,41,21.4,0.3,24.36,610.0,1.861,8357.5,0.24883,19.48,22.96,0.484,,,
AL1-20240728-0337,M1.5,M1.5,2024-07-28 03:48:00,0,ok,63,18.49,1.05,23.74,450.0,1.555,1293.5,0.14322,16.14,18.55,0.681,,,
AL1-20240728-1027,M7.7,M7.6,2024-07-28 10:42:00,0,ok,56,19.92,0.33,24.07,430.0,1.707,6827.1,0.23602,18.57,21.75,0.71,,,
AL1-20240728-1242,M2.5,M2.6,2024-07-28 12:50:00,0,ok,21,18.32,0.82,20.34,110.0,1.939,2279.6,0.12667,17.16,19.86,0.75,,,
AL1-20240728-1342,M1.5,,2024-07-28 14:23:00,0,ok,85,12.36,1.18,19.97,1390.0,1.732,1376.9,0.08131,13.07,14.69,0.328,,,
AL1-20240728-1554,C8.1,C8.2,2024-07-28 15:59:00,0,ok,2,15.21,1.81,18.88,50.0,2.189,640.5,0.07289,,,,,,
AL1-20240728-1708,C5.4,C5.7,2024-07-28 17:16:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240728-1809,M1.3,M1.3,2024-07-28 18:26:00,0,ok,61,15.21,0.98,18.97,-110.0,1.287,1059.8,0.11855,14.97,17.09,0.508,,,
AL1-20240728-2025,M1.8,M1.9,2024-07-28 20:36:00,0,ok,46,14.62,0.73,20.07,190.0,1.73,1624.8,0.11842,13.97,15.85,0.67,,,
AL1-20240728-2236,C6.9,C6.8,2024-07-28 22:44:00,0,ok,3,15.53,1.72,15.53,-10.0,1.709,508.8,0.07833,,,,,,
AL1-20240729-0105,C8.5,C8.9,2024-07-29 01:31:00,0,ok,48,10.86,1.13,16.7,390.0,1.229,663.4,0.07578,12.46,13.99,0.332,,,
AL1-20240729-0231,X1.4,X1.5,2024-07-29 02:37:00,0,ok,28,22.53,0.25,29.15,250.0,1.61,12567.2,0.25799,20.47,24.31,0.983,,,
AL1-20240729-0510,M1.0,M1.0,2024-07-29 05:20:00,0,ok,34,16.35,1.16,19.27,250.0,1.556,1026.1,0.11604,14.12,16.03,0.518,,,
AL1-20240729-1206,C6.9,C7.2,2024-07-29 12:12:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240729-1216,M1.5,M1.6,2024-07-29 12:22:00,0,ok,27,17.14,1.0,21.3,150.0,1.702,1497.5,0.1283,16.81,19.4,0.817,,,
AL1-20240729-1247,M8.1,M8.6,2024-07-29 12:55:00,0,ok,36,19.95,0.32,21.2,90.0,2.136,7643.1,0.21521,18.42,21.55,0.503,,,
AL1-20240729-1342,C5.7,C6.1,2024-07-29 13:47:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240729-1356,M3.9,M4.2,2024-07-29 14:46:00,0,ok,163,15.07,0.46,20.73,1850.0,1.519,3883.3,0.1405,13.49,15.26,0.545,,,
AL1-20240729-1703,C6.3,C6.5,2024-07-29 17:14:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240729-1733,C9.3,C9.2,2024-07-29 17:44:00,0,ok,32,14.44,1.16,26.1,330.0,1.906,918.4,0.10877,14.31,16.26,0.7,,,
AL1-20240729-1902,C9.3,C9.3,2024-07-29 19:21:00,0,ok,11,15.46,1.19,20.7,30.0,2.617,847.7,0.1146,17.13,19.85,,,,
AL1-20240729-1928,C6.6,C7.0,2024-07-29 19:34:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240729-1940,M6.5,M6.3,2024-07-29 19:56:00,0,ok,68,18.49,0.35,22.54,450.0,1.62,6004.4,0.21024,17.17,19.9,0.697,,,
AL1-20240729-2042,C8.6,,2024-07-29 20:52:00,0,ok,19,16.88,1.79,19.61,90.0,1.824,867.9,0.09342,17.06,19.71,-0.179,,,
AL1-20240729-2055,M1.1,M1.1,2024-07-29 21:00:00,0,ok,14,19.57,2.12,24.43,-10.0,2.316,1100.4,0.13827,17.81,20.62,,,,
AL1-20240729-2208,C9.7,C9.8,2024-07-29 22:21:00,0,ok,22,18.28,1.3,19.9,90.0,1.617,929.6,0.12127,15.58,17.86,0.714,,,
AL1-20240730-0053,M1.7,M1.7,2024-07-30 01:03:00,0,ok,71,18.28,0.77,22.94,90.0,1.637,1606.8,0.17164,18.18,21.23,0.839,,,
AL1-20240730-0616,M1.5,M1.5,2024-07-30 06:29:00,0,ok,61,15.18,0.78,20.01,230.0,2.396,1510.2,0.13254,15.02,17.15,0.835,,,
AL1-20240730-0707,C8.3,C8.9,2024-07-30 07:17:00,0,ok,23,13.65,1.33,19.83,110.0,1.891,858.6,0.08836,12.29,13.77,0.357,,,
AL1-20240730-1016,C5.6,,2024-07-30 10:31:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240730-1256,C7.6,,2024-07-30 13:05:00,0,ok,1,12.03,1.09,12.03,-10.0,1.552,1176.0,0.04454,12.29,13.78,,,,
AL1-20240730-1413,C5.7,,2024-07-30 14:24:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240730-1440,C8.6,,2024-07-30 14:55:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240730-1523,C7.6,C7.8,2024-07-30 15:31:00,0,ok,5,17.49,1.85,17.49,-10.0,1.135,774.2,0.08111,15.46,17.71,,,,
AL1-20240730-1610,M1.4,M1.5,2024-07-30 16:28:00,0,ok,62,14.15,0.88,22.37,590.0,1.325,1444.7,0.10392,13.42,15.16,0.947,,,
AL1-20240730-1700,C6.9,C7.4,2024-07-30 17:09:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240730-1912,M1.9,M1.9,2024-07-30 19:20:00,0,ok,15,17.03,0.79,20.62,90.0,1.925,1639.7,0.13562,15.78,18.11,,,,
AL1-20240730-1925,M8.9,M9.4,2024-07-30 19:37:00,0,ok,88,18.87,0.29,31.37,550.0,1.448,8402.5,0.22003,17.16,19.89,0.803,,,
AL1-20240730-2135,C8.9,C9.6,2024-07-30 21:43:00,0,ok,4,15.06,1.7,15.06,10.0,0.893,939.0,0.06666,14.22,16.13,,,,
AL1-20240730-2253,C6.9,,2024-07-30 23:07:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240731-0142,M1.9,M1.9,2024-07-31 01:49:00,0,ok,18,20.73,0.82,21.48,50.0,1.936,1631.7,0.17971,19.13,22.5,0.829,,,
AL1-20240731-0440,C5.6,,2024-07-31 04:50:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240731-0505,M4.6,M4.7,2024-07-31 05:23:00,0,ok,65,21.15,0.47,25.22,410.0,2.325,4297.2,0.21549,20.07,23.77,0.553,,,
AL1-20240731-0627,M7.5,M7.6,2024-07-31 06:46:00,0,ok,66,17.08,0.3,23.48,690.0,1.368,6993.9,0.19046,15.9,18.27,0.598,,,
AL1-20240731-1009,C8.6,C9.2,2024-07-31 10:20:00,0,ok,9,12.22,1.47,18.32,190.0,1.162,902.2,0.07687,11.94,13.35,,,,
AL1-20240731-1121,C6.3,,2024-07-31 11:32:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240731-1231,C6.7,,2024-07-31 12:40:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240731-1245,M5.9,M5.9,2024-07-31 13:05:00,0,ok,111,19.69,0.38,23.4,910.0,1.803,5535.9,0.22603,18.79,22.04,0.524,,,
AL1-20240731-1605,M1.3,M1.4,2024-07-31 16:31:00,0,ok,51,15.85,1.07,19.02,690.0,1.271,1330.0,0.09305,15.01,17.14,0.581,,,
AL1-20240731-1748,M5.5,M5.3,2024-07-31 18:38:00,0,ok,179,14.72,0.34,20.84,970.0,1.067,5078.9,0.16863,13.9,15.75,0.56,,,
AL1-20240731-2042,C6.2,,2024-07-31 20:52:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240731-2105,C8.3,C8.5,2024-07-31 21:14:00,0,ok,13,15.24,1.46,21.95,110.0,2.366,835.6,0.09578,15.56,17.82,,,,
AL1-20240731-2137,M1.2,M1.2,2024-07-31 21:53:00,0,ok,59,14.14,0.99,18.85,610.0,2.496,1231.6,0.10499,15.0,17.12,0.594,,,
AL1-20240731-2242,C9.5,M1.0,2024-07-31 22:49:00,0,ok,24,20.26,1.57,23.17,150.0,1.42,969.7,0.10445,17.01,19.68,0.643,,,
AL1-20240801-0001,C8.5,C9.2,2024-08-01 00:08:00,0,no pre-flare background,,,,,,,,,,,,,,
AL1-20240801-0027,C7.6,C8.2,2024-08-01 00:33:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240801-0050,M1.2,M1.2,2024-08-01 00:57:00,0,ok,20,16.61,1.36,20.68,210.0,1.682,1184.0,0.10848,16.86,19.48,0.829,,,
AL1-20240801-0128,C7.8,C8.2,2024-08-01 01:33:00,0,ok,1,16.71,2.04,16.71,-10.0,2.559,816.5,0.07947,,,,,,
AL1-20240801-0257,M1.1,M1.2,2024-08-01 03:06:00,0,ok,19,15.56,1.31,20.3,90.0,1.954,1162.7,0.08876,15.26,17.45,0.714,,,
AL1-20240801-0358,M1.8,M1.8,2024-08-01 04:09:00,0,ok,32,19.15,0.96,24.56,90.0,2.052,1730.0,0.13434,18.46,21.58,0.552,,,
AL1-20240801-0435,M3.8,M3.9,2024-08-01 04:41:00,0,ok,11,19.84,0.47,23.41,90.0,1.833,3834.9,0.187,17.74,20.64,,,,
AL1-20240801-0623,M1.6,,2024-08-01 06:40:00,0,ok,42,14.74,0.94,18.86,310.0,1.333,1599.3,0.10646,13.87,15.71,0.279,,,
AL1-20240801-0643,M8.1,M8.1,2024-08-01 07:09:00,0,ok,126,18.24,0.32,27.34,1270.0,1.213,7439.1,0.21744,17.32,20.1,0.168,,,
AL1-20240801-1108,M3.8,M4.1,2024-08-01 11:36:00,0,ok,129,17.25,0.51,27.61,1330.0,1.802,3792.6,0.1535,16.63,19.19,0.535,,,
AL1-20240801-1511,C8.6,C8.7,2024-08-01 15:15:00,0,ok,8,19.2,1.57,26.38,30.0,1.251,838.2,0.0939,18.18,21.21,,,,
AL1-20240801-1608,M1.1,M1.0,2024-08-01 16:15:00,0,ok,5,16.91,2.16,20.78,-10.0,1.357,1067.2,0.09118,19.52,22.92,,,,
AL1-20240801-1633,M1.4,M1.6,2024-08-01 16:47:00,0,ok,46,19.88,1.4,26.46,670.0,1.984,1506.0,0.09989,17.66,20.49,0.907,,,
AL1-20240801-1722,M1.3,M1.3,2024-08-01 17:29:00,0,ok,17,20.23,1.19,21.78,70.0,1.836,1215.8,0.1324,18.15,21.18,,,,
AL1-20240801-2015,M1.1,M1.1,2024-08-01 20:22:00,0,ok,17,17.91,1.58,20.06,130.0,1.429,1115.2,0.08298,16.23,18.67,,,,
AL1-20240801-2259,M1.3,M1.3,2024-08-01 23:08:00,0,ok,39,16.16,1.02,23.07,290.0,1.651,1312.7,0.11548,16.51,19.04,0.922,,,
AL1-20240802-0157,C9.2,M1.0,2024-08-02 02:01:00,0,ok,3,17.03,2.02,18.14,30.0,1.581,959.5,0.07445,14.51,16.45,,,,
AL1-20240802-0239,C8.6,C9.0,2024-08-02 02:50:00,0,ok,9,13.07,1.4,17.07,-30.0,1.88,873.8,0.08533,13.62,15.4,,,,
AL1-20240802-0317,M1.1,M1.1,2024-08-02 03:25:00,0,ok,11,16.35,1.59,20.23,-30.0,1.628,1048.9,0.09259,16.04,18.42,,,,
AL1-20240802-0353,M1.1,M1.1,2024-08-02 03:58:00,0,ok,16,20.03,1.21,28.2,110.0,1.592,1106.8,0.13542,16.92,19.57,,,,
AL1-20240802-0413,C7.0,C7.2,2024-08-02 04:21:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240802-0423,M7.4,M7.3,2024-08-02 04:53:00,0,ok,143,17.33,0.31,29.32,1510.0,1.312,6771.8,0.21556,16.82,19.45,0.678,,,
AL1-20240802-0749,M2.0,M2.1,2024-08-02 07:59:00,0,ok,13,17.7,0.94,18.12,-10.0,1.411,1757.0,0.12525,17.19,19.91,,,,
AL1-20240802-0908,M1.1,M1.2,2024-08-02 09:16:00,0,ok,29,16.66,1.21,23.1,30.0,2.557,1109.8,0.10143,15.85,18.19,0.503,,,
AL1-20240802-0945,M1.4,M1.6,2024-08-02 09:51:00,0,ok,19,17.21,1.11,19.93,50.0,2.262,1495.7,0.09793,14.43,16.39,0.029,,,
AL1-20240802-1229,M1.2,M1.2,2024-08-02 12:33:00,0,ok,14,16.96,1.32,20.22,70.0,1.942,1146.0,0.09617,14.45,16.42,,,,
AL1-20240802-1254,C8.6,C9.8,2024-08-02 13:01:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240802-1344,M1.0,M1.0,2024-08-02 13:50:00,0,ok,18,18.47,1.53,23.3,90.0,1.527,1023.7,0.08896,16.12,18.52,0.314,,,
AL1-20240802-1521,M1.3,M1.5,2024-08-02 15:30:00,0,ok,14,15.25,1.04,21.3,110.0,2.045,1450.3,0.08524,14.77,16.83,,,,
AL1-20240802-1611,C7.7,C8.5,2024-08-02 16:20:00,0,ok,8,14.54,1.61,21.46,130.0,2.422,828.1,0.07023,12.99,14.63,,,,
AL1-20240802-1707,C5.6,C6.0,2024-08-02 17:13:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240802-1806,C7.6,C8.1,2024-08-02 18:19:00,0,ok,2,20.97,2.35,20.97,10.0,1.297,779.5,0.07458,18.75,21.96,,,,
AL1-20240802-2112,C5.6,,2024-08-02 21:28:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240802-2341,M1.3,M1.3,2024-08-02 23:57:00,0,ok,47,13.93,0.92,21.17,750.0,1.578,1311.5,0.1106,12.69,14.27,0.364,,,
AL1-20240803-0251,C8.3,C9.3,2024-08-03 02:58:00,0,ok,13,17.28,1.65,20.24,130.0,2.207,895.9,0.07853,15.67,17.95,,,,
AL1-20240803-0438,M1.4,M1.4,2024-08-03 04:58:00,0,ok,28,17.32,0.91,18.27,110.0,1.404,1382.4,0.13409,14.86,16.95,0.633,,,
AL1-20240803-0552,C8.5,C8.9,2024-08-03 06:49:00,0,ok,83,12.15,1.34,26.86,3030.0,1.459,881.5,0.07819,12.67,14.24,0.765,,,
AL1-20240803-0652,M1.7,M1.9,2024-08-03 07:30:00,0,ok,109,12.77,0.92,32.07,2050.0,1.355,1743.5,0.10634,12.36,13.85,0.782,,,
AL1-20240803-1024,C6.1,C6.5,2024-08-03 10:32:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240803-1326,M1.7,M1.8,2024-08-03 13:43:00,0,ok,57,17.01,0.82,22.67,230.0,1.921,1698.0,0.12788,14.73,16.79,0.719,,,
AL1-20240803-1604,C6.0,C6.6,2024-08-03 16:08:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240803-1649,M2.7,M2.8,2024-08-03 16:54:00,0,ok,13,20.62,0.6,21.75,70.0,2.291,2688.7,0.17849,18.0,20.99,,,,
AL1-20240803-1713,M1.8,M1.8,2024-08-03 17:26:00,0,ok,30,14.69,0.66,21.62,170.0,2.284,1794.8,0.13319,14.13,16.05,0.891,,,
AL1-20240803-1800,C6.6,C6.8,2024-08-03 18:17:00,0,ok,49,12.54,1.38,22.31,650.0,1.676,662.9,0.09671,13.39,15.12,0.517,,,
AL1-20240803-1834,M6.8,M7.2,2024-08-03 18:39:00,0,ok,18,24.67,0.4,26.58,50.0,2.975,6096.0,0.2594,21.5,25.74,0.943,,,
AL1-20240803-1917,M5.5,M5.3,2024-08-03 19:30:00,0,ok,65,18.68,0.38,26.42,510.0,1.026,5140.5,0.20963,17.33,20.11,0.558,,,
AL1-20240803-2252,C8.6,C8.6,2024-08-03 23:02:00,0,ok,26,16.38,1.56,21.27,210.0,1.082,867.8,0.09784,13.08,14.75,0.733,,,
AL1-20240804-0038,C5.9,C6.4,2024-08-04 00:46:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240804-0146,M1.4,M1.4,2024-08-04 01:59:00,0,ok,57,15.68,1.06,20.95,450.0,1.139,1413.6,0.09615,14.5,16.5,0.837,,,
AL1-20240804-0549,C5.2,C5.7,2024-08-04 05:55:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240804-0900,C5.2,C5.6,2024-08-04 09:06:00,0,no fittable bins,,,,,,,,,,,,,,
