id,t_utc,t_rel_peak_s,rate_cps,T_MK,T_err_MK,log_amp,fe_ew_keV
AL1-20240202-0253,2024-02-02 02:59:00,-110.0,480.6,20.33,2.07,6.889,2.124
AL1-20240202-0253,2024-02-02 02:59:20,-90.0,606.0,19.05,1.58,7.503,2.662
AL1-20240202-0253,2024-02-02 02:59:40,-70.0,726.1,21.68,1.47,7.514,2.233
AL1-20240202-0253,2024-02-02 03:00:00,-50.0,843.2,18.21,1.17,8.153,2.241
AL1-20240202-0253,2024-02-02 03:00:20,-30.0,969.2,15.46,0.92,8.92,2.965
AL1-20240202-0253,2024-02-02 03:00:40,-10.0,1127.5,17.84,0.97,8.573,2.091
AL1-20240202-0253,2024-02-02 03:01:00,10.0,1246.5,18.99,1.0,8.427,2.194
AL1-20240202-0253,2024-02-02 03:01:20,30.0,1252.0,17.37,0.97,8.616,2.203
AL1-20240202-0253,2024-02-02 03:01:40,50.0,1246.5,16.55,0.96,8.707,1.953
AL1-20240202-0253,2024-02-02 03:02:00,70.0,1194.6,16.4,1.05,8.553,1.898
AL1-20240202-0253,2024-02-02 03:02:20,90.0,1110.6,14.63,1.08,8.719,1.831
AL1-20240202-0253,2024-02-02 03:02:40,110.0,1019.4,10.78,0.9,9.881,2.656
AL1-20240202-0253,2024-02-02 03:03:00,130.0,920.4,12.18,1.23,8.918,1.69
AL1-20240202-0253,2024-02-02 03:03:20,150.0,823.3,11.8,1.2,9.048,0.971
AL1-20240202-1048,2024-02-02 10:56:20,-30.0,542.5,19.91,2.22,6.773,1.14
AL1-20240202-1048,2024-02-02 10:56:40,-10.0,587.0,16.71,1.82,7.416,1.982
AL1-20240202-1048,2024-02-02 10:57:00,10.0,644.0,15.93,1.59,7.77,1.914
AL1-20240202-1048,2024-02-02 10:57:20,30.0,669.0,15.77,1.58,7.807,1.856
AL1-20240202-1048,2024-02-02 10:57:40,50.0,688.0,17.26,1.76,7.426,1.644
AL1-20240202-1048,2024-02-02 10:58:00,70.0,664.7,16.29,1.74,7.56,1.368
AL1-20240202-1048,2024-02-02 10:58:20,90.0,647.8,12.56,1.45,8.517,2.159
AL1-20240202-1111,2024-02-02 11:23:00,-710.0,473.9,17.75,2.04,7.154,0.924
AL1-20240202-1111,2024-02-02 11:24:40,-610.0,525.5,21.42,2.39,6.589,1.008
AL1-20240202-1111,2024-02-02 11:25:00,-590.0,542.9,19.86,2.23,6.806,1.494
AL1-20240202-1111,2024-02-02 11:25:20,-570.0,547.5,16.3,1.76,7.584,1.569
AL1-20240202-1111,2024-02-02 11:25:40,-550.0,556.0,19.21,1.97,7.079,1.57
AL1-20240202-1111,2024-02-02 11:26:00,-530.0,559.3,15.21,1.74,7.802,2.397
AL1-20240202-1111,2024-02-02 11:26:20,-510.0,576.2,15.19,1.66,7.858,2.967
AL1-20240202-1111,2024-02-02 11:26:40,-490.0,593.4,12.59,1.42,8.693,3.142
AL1-20240202-1111,2024-02-02 11:27:00,-470.0,588.6,16.49,1.67,7.655,1.418
AL1-20240202-1111,2024-02-02 11:27:20,-450.0,595.3,18.29,1.76,7.4,1.587
AL1-20240202-1111,2024-02-02 11:27:40,-430.0,625.1,14.64,1.4,8.246,2.118
AL1-20240202-1111,2024-02-02 11:28:00,-410.0,622.4,16.97,1.7,7.613,1.57
AL1-20240202-1111,2024-02-02 11:28:20,-390.0,633.0,17.06,1.57,7.713,1.091
AL1-20240202-1111,2024-02-02 11:28:40,-370.0,637.5,16.68,1.65,7.685,1.756
AL1-20240202-1111,2024-02-02 11:29:00,-350.0,664.1,15.82,1.55,7.875,1.336
AL1-20240202-1111,2024-02-02 11:29:20,-330.0,668.1,13.72,1.26,8.595,1.693
AL1-20240202-1111,2024-02-02 11:29:40,-310.0,660.5,16.49,1.58,7.764,1.549
AL1-20240202-1111,2024-02-02 11:30:00,-290.0,675.9,15.6,1.46,8.011,1.688
AL1-20240202-1111,2024-02-02 11:30:20,-270.0,682.5,16.24,1.52,7.864,1.19
AL1-20240202-1111,2024-02-02 11:30:40,-250.0,697.9,13.17,1.21,8.782,1.51
AL1-20240202-1111,2024-02-02 11:31:00,-230.0,703.2,15.28,1.38,8.174,1.362
AL1-20240202-1111,2024-02-02 11:31:20,-210.0,699.2,14.38,1.32,8.425,0.953
AL1-20240202-1111,2024-02-02 11:31:40,-190.0,709.0,11.64,1.06,9.383,2.315
AL1-20240202-1111,2024-02-02 11:32:00,-170.0,714.7,14.13,1.31,8.469,1.261
AL1-20240202-1111,2024-02-02 11:32:20,-150.0,717.7,12.74,1.2,8.891,2.272
AL1-20240202-1111,2024-02-02 11:32:40,-130.0,729.1,15.8,1.42,8.04,1.003
AL1-20240202-1111,2024-02-02 11:33:00,-110.0,743.4,14.09,1.41,8.34,2.07
AL1-20240202-1111,2024-02-02 11:33:20,-90.0,734.8,16.71,1.5,7.842,0.639
AL1-20240202-1111,2024-02-02 11:33:40,-70.0,754.6,13.72,1.38,8.431,1.345
AL1-20240202-1111,2024-02-02 11:34:00,-50.0,752.0,11.81,1.14,9.219,1.806
AL1-20240202-1111,2024-02-02 11:34:20,-30.0,746.5,14.44,1.37,8.321,1.324
AL1-20240202-1111,2024-02-02 11:34:40,-10.0,747.3,17.36,1.63,7.608,0.984
AL1-20240202-1111,2024-02-02 11:35:00,10.0,747.1,14.18,1.32,8.424,1.252
AL1-20240202-1111,2024-02-02 11:35:20,30.0,760.0,12.31,1.16,9.044,1.228
AL1-20240202-1111,2024-02-02 11:35:40,50.0,760.2,14.94,1.4,8.208,0.778
AL1-20240202-1111,2024-02-02 11:36:00,70.0,741.4,15.12,1.48,8.06,0.658
AL1-20240202-1111,2024-02-02 11:36:20,90.0,753.8,13.63,1.48,8.307,1.757
AL1-20240202-1111,2024-02-02 11:36:40,110.0,756.9,12.7,1.36,8.657,1.944
AL1-20240202-1111,2024-02-02 11:37:00,130.0,749.8,11.14,1.21,9.267,1.735
AL1-20240202-1111,2024-02-02 11:37:20,150.0,759.5,12.52,1.37,8.702,1.814
AL1-20240202-1111,2024-02-02 11:37:40,170.0,759.7,13.71,1.48,8.34,0.692
AL1-20240202-1111,2024-02-02 11:38:00,190.0,751.6,11.59,1.28,9.085,1.69
AL1-20240202-1111,2024-02-02 11:38:20,210.0,747.6,10.64,1.18,9.472,1.321
AL1-20240202-1111,2024-02-02 11:38:40,230.0,741.7,12.88,1.36,8.635,0.847
AL1-20240202-1111,2024-02-02 11:39:20,270.0,750.3,11.55,1.32,9.002,1.657
AL1-20240202-1111,2024-02-02 11:39:40,290.0,749.3,11.49,1.42,8.897,1.256
AL1-20240202-1111,2024-02-02 11:40:00,310.0,745.1,10.47,1.16,9.548,1.046
AL1-20240202-1111,2024-02-02 11:40:20,330.0,744.7,12.28,1.42,8.681,0.343
AL1-20240202-1111,2024-02-02 11:42:00,430.0,734.5,9.67,1.12,9.904,0.852
AL1-20240203-0534,2024-02-03 05:39:40,-790.0,485.7,20.94,2.4,6.597,1.374
AL1-20240203-0534,2024-02-03 05:40:00,-770.0,506.2,19.34,2.15,6.899,1.482
AL1-20240203-0534,2024-02-03 05:40:20,-750.0,512.4,18.04,2.05,7.088,1.646
AL1-20240203-0534,2024-02-03 05:40:40,-730.0,510.4,16.11,1.81,7.529,1.48
AL1-20240203-0534,2024-02-03 05:41:00,-710.0,528.1,17.93,1.81,7.34,1.276
AL1-20240203-0534,2024-02-03 05:41:20,-690.0,548.0,21.99,2.26,6.673,1.486
AL1-20240203-0534,2024-02-03 05:41:40,-670.0,553.7,19.61,1.92,7.099,1.515
AL1-20240203-0534,2024-02-03 05:42:00,-650.0,565.5,18.97,1.81,7.261,1.001
AL1-20240203-0534,2024-02-03 05:42:20,-630.0,582.0,17.85,1.74,7.424,1.619
AL1-20240203-0534,2024-02-03 05:42:40,-610.0,598.7,21.33,2.07,6.868,1.607
AL1-20240203-0534,2024-02-03 05:43:00,-590.0,601.1,15.87,1.51,7.938,1.743
AL1-20240203-0534,2024-02-03 05:43:20,-570.0,608.2,18.33,1.73,7.394,1.575
AL1-20240203-0534,2024-02-03 05:43:40,-550.0,619.7,16.39,1.47,7.898,1.315
AL1-20240203-0534,2024-02-03 05:44:00,-530.0,633.5,14.37,1.34,8.358,1.705
AL1-20240203-0534,2024-02-03 05:44:20,-510.0,652.5,16.87,1.46,7.861,1.419
AL1-20240203-0534,2024-02-03 05:44:40,-490.0,665.9,16.87,1.5,7.814,1.43
AL1-20240203-0534,2024-02-03 05:45:00,-470.0,666.0,17.05,1.54,7.736,1.42
AL1-20240203-0534,2024-02-03 05:45:20,-450.0,671.6,15.83,1.45,7.996,1.658
AL1-20240203-0534,2024-02-03 05:45:40,-430.0,680.8,16.86,1.51,7.802,1.118
AL1-20240203-0534,2024-02-03 05:46:00,-410.0,699.5,17.42,1.55,7.683,1.184
AL1-20240203-0534,2024-02-03 05:46:20,-390.0,706.4,15.99,1.44,7.986,1.225
AL1-20240203-0534,2024-02-03 05:46:40,-370.0,719.5,17.8,1.54,7.666,1.018
AL1-20240203-0534,2024-02-03 05:47:00,-350.0,723.8,13.3,1.23,8.719,1.919
AL1-20240203-0534,2024-02-03 05:47:20,-330.0,729.8,14.08,1.32,8.444,1.761
AL1-20240203-0534,2024-02-03 05:47:40,-310.0,745.4,13.3,1.25,8.693,1.447
AL1-20240203-0534,2024-02-03 05:48:00,-290.0,750.3,12.73,1.14,8.984,1.678
AL1-20240203-0534,2024-02-03 05:48:20,-270.0,758.4,15.55,1.38,8.122,1.147
AL1-20240203-0534,2024-02-03 05:48:40,-250.0,764.0,14.02,1.29,8.493,1.016
AL1-20240203-0534,2024-02-03 05:49:00,-230.0,765.0,14.93,1.43,8.152,1.147
AL1-20240203-0534,2024-02-03 05:49:20,-210.0,773.2,12.53,1.16,9.001,0.728
AL1-20240203-0534,2024-02-03 05:49:40,-190.0,784.0,12.2,1.14,9.113,1.389
AL1-20240203-0534,2024-02-03 05:50:00,-170.0,777.9,15.43,1.42,8.086,0.905
AL1-20240203-0534,2024-02-03 05:50:20,-150.0,791.5,11.44,1.11,9.347,2.019
AL1-20240203-0534,2024-02-03 05:50:40,-130.0,789.8,14.02,1.33,8.426,0.707
AL1-20240203-0534,2024-02-03 05:51:00,-110.0,809.1,11.38,1.08,9.414,1.933
AL1-20240203-0534,2024-02-03 05:51:20,-90.0,821.5,12.1,1.21,9.009,0.814
AL1-20240203-0534,2024-02-03 05:51:40,-70.0,814.5,12.22,1.19,9.023,1.149
AL1-20240203-0534,2024-02-03 05:52:00,-50.0,830.8,12.92,1.33,8.657,0.6
AL1-20240203-0534,2024-02-03 05:52:20,-30.0,840.0,13.19,1.24,8.724,0.679
AL1-20240203-0534,2024-02-03 05:52:40,-10.0,828.6,10.71,1.12,9.546,1.302
AL1-20240203-0534,2024-02-03 05:53:00,10.0,839.7,11.33,1.19,9.233,1.303
AL1-20240203-0534,2024-02-03 05:53:20,30.0,846.4,10.76,1.15,9.47,0.827
AL1-20240203-0534,2024-02-03 05:53:40,50.0,843.0,11.53,1.25,9.101,0.323
AL1-20240203-0534,2024-02-03 05:54:00,70.0,846.0,10.87,1.18,9.402,1.191
AL1-20240203-0534,2024-02-03 05:54:20,90.0,847.8,10.48,1.14,9.582,0.757
AL1-20240203-0534,2024-02-03 05:54:40,110.0,845.9,12.34,1.32,8.793,0.579
AL1-20240203-0534,2024-02-03 05:55:00,130.0,843.8,10.6,1.14,9.533,0.243
AL1-20240203-0534,2024-02-03 05:55:20,150.0,836.0,10.77,1.3,9.249,0.672
AL1-20240203-0534,2024-02-03 05:55:40,170.0,837.0,11.39,1.24,9.165,0.913
AL1-20240203-0534,2024-02-03 05:56:00,190.0,839.8,12.14,1.47,8.64,0.34
AL1-20240203-0534,2024-02-03 05:56:20,210.0,828.1,10.33,1.23,9.498,0.509
AL1-20240203-1036,2024-02-03 10:40:40,-370.0,480.9,20.97,2.38,6.593,1.0
AL1-20240203-1036,2024-02-03 10:41:00,-350.0,522.4,17.2,1.71,7.501,1.201
AL1-20240203-1036,2024-02-03 10:41:20,-330.0,556.0,15.25,1.5,7.996,1.005
AL1-20240203-1036,2024-02-03 10:41:40,-310.0,571.5,17.3,1.71,7.499,0.828
AL1-20240203-1036,2024-02-03 10:42:00,-290.0,592.4,13.54,1.37,8.44,1.435
AL1-20240203-1036,2024-02-03 10:42:20,-270.0,611.5,14.24,1.48,8.212,1.474
AL1-20240203-1036,2024-02-03 10:42:40,-250.0,619.0,17.01,1.73,7.508,0.375
AL1-20240203-1036,2024-02-03 10:43:00,-230.0,638.7,11.75,1.17,9.133,1.884
AL1-20240203-1036,2024-02-03 10:43:20,-210.0,631.2,15.34,1.51,7.965,0.744
AL1-20240203-1036,2024-02-03 10:43:40,-190.0,641.8,15.09,1.56,7.939,1.068
AL1-20240203-1036,2024-02-03 10:44:00,-170.0,640.2,13.44,1.44,8.361,1.053
AL1-20240203-1036,2024-02-03 10:44:20,-150.0,651.0,13.78,1.56,8.141,0.418
AL1-20240203-1036,2024-02-03 10:44:40,-130.0,640.9,12.9,1.38,8.559,0.85
AL1-20240203-1036,2024-02-03 10:45:00,-110.0,648.1,14.26,1.49,8.153,1.037
AL1-20240203-1036,2024-02-03 10:45:20,-90.0,652.6,13.03,1.38,8.537,1.244
AL1-20240203-1036,2024-02-03 10:45:40,-70.0,659.5,13.13,1.37,8.526,0.734
AL1-20240203-1036,2024-02-03 10:46:00,-50.0,650.5,12.74,1.39,8.569,0.805
AL1-20240203-1036,2024-02-03 10:46:20,-30.0,665.0,13.31,1.4,8.451,0.466
AL1-20240203-1036,2024-02-03 10:46:40,-10.0,664.9,14.88,1.46,8.093,0.79
AL1-20240203-1036,2024-02-03 10:47:00,10.0,678.0,12.67,1.26,8.776,1.107
AL1-20240203-1036,2024-02-03 10:47:20,30.0,686.6,13.21,1.3,8.61,1.07
AL1-20240203-1036,2024-02-03 10:47:40,50.0,693.6,15.92,1.59,7.791,0.471
AL1-20240203-1036,2024-02-03 10:48:00,70.0,681.3,14.82,1.56,7.976,0.559
AL1-20240203-1036,2024-02-03 10:48:20,90.0,670.9,11.16,1.26,9.151,0.787
AL1-20240203-1036,2024-02-03 10:48:40,110.0,659.4,13.61,1.59,8.143,0.968
AL1-20240203-1036,2024-02-03 10:49:00,130.0,659.4,13.42,1.54,8.242,0.633
AL1-20240203-1243,2024-02-03 12:47:00,-50.0,448.8,19.81,2.22,6.788,2.133
AL1-20240203-1243,2024-02-03 12:47:20,-30.0,516.1,15.12,1.52,7.985,2.706
AL1-20240203-1243,2024-02-03 12:47:40,-10.0,522.5,15.4,1.59,7.858,2.794
AL1-20240203-1243,2024-02-03 12:48:00,10.0,538.6,18.21,1.74,7.384,1.432
AL1-20240203-1243,2024-02-03 12:48:20,30.0,553.4,17.82,1.65,7.526,1.457
AL1-20240203-1243,2024-02-03 12:48:40,50.0,551.9,17.09,1.86,7.372,1.686
AL1-20240203-1243,2024-02-03 12:49:00,70.0,550.2,19.95,2.17,6.825,1.193
AL1-20240203-2104,2024-02-03 21:13:40,-1570.0,520.7,18.53,2.09,6.998,1.641
AL1-20240203-2104,2024-02-03 21:14:00,-1550.0,546.3,20.77,1.94,7.009,1.381
AL1-20240203-2104,2024-02-03 21:14:20,-1530.0,582.5,19.29,1.8,7.242,1.163
AL1-20240203-2104,2024-02-03 21:14:40,-1510.0,608.4,18.86,1.71,7.365,1.521
AL1-20240203-2104,2024-02-03 21:15:00,-1490.0,623.0,17.67,1.64,7.544,1.479
AL1-20240203-2104,2024-02-03 21:15:20,-1470.0,637.1,18.85,1.64,7.457,0.773
AL1-20240203-2104,2024-02-03 21:15:40,-1450.0,660.5,17.5,1.6,7.611,1.745
AL1-20240203-2104,2024-02-03 21:16:00,-1430.0,666.8,17.24,1.57,7.67,1.186
AL1-20240203-2104,2024-02-03 21:16:20,-1410.0,663.0,15.78,1.47,7.971,0.975
AL1-20240203-2104,2024-02-03 21:16:40,-1390.0,673.4,15.44,1.39,8.125,1.248
AL1-20240203-2104,2024-02-03 21:17:00,-1370.0,674.8,15.32,1.46,8.033,0.946
AL1-20240203-2104,2024-02-03 21:17:20,-1350.0,671.5,14.91,1.52,8.019,1.593
AL1-20240203-2104,2024-02-03 21:17:40,-1330.0,684.4,14.11,1.4,8.299,1.296
AL1-20240203-2104,2024-02-03 21:18:00,-1310.0,689.9,11.67,1.18,9.151,1.782
AL1-20240203-2104,2024-02-03 21:18:20,-1290.0,675.6,17.27,1.88,7.316,1.397
AL1-20240203-2104,2024-02-03 21:18:40,-1270.0,672.9,15.33,1.68,7.768,0.864
AL1-20240203-2104,2024-02-03 21:26:40,-790.0,649.8,13.64,1.61,8.11,0.713
AL1-20240203-2104,2024-02-03 21:27:00,-770.0,671.2,14.42,1.57,8.028,0.877
AL1-20240203-2104,2024-02-03 21:27:20,-750.0,671.5,14.46,1.62,7.965,1.093
AL1-20240203-2104,2024-02-03 21:27:40,-730.0,670.2,13.94,1.55,8.133,0.786
AL1-20240203-2104,2024-02-03 21:28:00,-710.0,665.1,11.77,1.34,8.879,0.258
AL1-20240203-2104,2024-02-03 21:28:40,-670.0,661.9,15.81,1.81,7.553,0.076
AL1-20240203-2104,2024-02-03 21:29:00,-650.0,660.8,14.01,1.61,8.054,0.924
AL1-20240203-2104,2024-02-03 21:29:20,-630.0,668.4,12.69,1.48,8.468,0.987
AL1-20240203-2104,2024-02-03 21:29:40,-610.0,658.5,13.26,1.46,8.378,1.043
AL1-20240203-2104,2024-02-03 21:30:40,-550.0,662.1,13.33,1.53,8.277,0.815
AL1-20240203-2104,2024-02-03 21:31:00,-530.0,667.6,14.06,1.57,8.088,-0.041
AL1-20240203-2104,2024-02-03 21:31:20,-510.0,655.3,14.28,1.66,7.948,1.356
AL1-20240203-2104,2024-02-03 21:32:20,-450.0,674.4,13.95,1.56,8.116,0.668
AL1-20240203-2104,2024-02-03 21:32:40,-430.0,674.3,12.56,1.34,8.684,0.693
AL1-20240203-2104,2024-02-03 21:33:00,-410.0,664.7,11.85,1.34,8.846,0.846
AL1-20240203-2104,2024-02-03 21:33:40,-370.0,682.6,12.52,1.43,8.576,1.004
AL1-20240203-2104,2024-02-03 21:34:00,-350.0,674.3,11.17,1.27,9.136,1.439
AL1-20240203-2104,2024-02-03 21:34:20,-330.0,676.9,12.27,1.34,8.752,0.436
AL1-20240203-2104,2024-02-03 21:35:00,-290.0,680.9,11.19,1.3,9.08,1.043
AL1-20240203-2104,2024-02-03 21:35:20,-270.0,674.0,15.94,1.81,7.534,0.224
AL1-20240203-2104,2024-02-03 21:36:00,-230.0,688.7,10.82,1.28,9.219,2.089
AL1-20240203-2104,2024-02-03 21:37:20,-150.0,696.4,13.22,1.55,8.27,0.308
AL1-20240203-2104,2024-02-03 21:38:00,-110.0,697.6,11.48,1.33,8.963,1.013
AL1-20240203-2104,2024-02-03 21:38:20,-90.0,706.0,10.06,1.12,9.714,1.334
AL1-20240203-2104,2024-02-03 21:38:40,-70.0,715.2,15.38,1.76,7.668,0.27
AL1-20240203-2104,2024-02-03 21:39:00,-50.0,716.4,16.33,1.72,7.593,-0.11
AL1-20240203-2104,2024-02-03 21:39:20,-30.0,716.8,11.44,1.34,8.959,0.989
AL1-20240203-2104,2024-02-03 21:39:40,-10.0,732.5,9.87,1.1,9.802,1.469
AL1-20240203-2104,2024-02-03 21:40:00,10.0,729.6,10.92,1.24,9.248,0.907
AL1-20240203-2104,2024-02-03 21:40:20,30.0,724.9,13.08,1.46,8.407,0.282
AL1-20240203-2104,2024-02-03 21:40:40,50.0,730.7,10.7,1.19,9.4,0.904
AL1-20240203-2104,2024-02-03 21:41:00,70.0,725.2,14.28,1.62,7.995,0.289
AL1-20240203-2104,2024-02-03 21:41:20,90.0,711.9,10.73,1.24,9.302,1.417
AL1-20240204-1142,2024-02-04 11:47:20,-270.0,566.2,25.16,2.49,6.401,1.511
AL1-20240204-1142,2024-02-04 11:47:40,-250.0,645.1,22.71,1.8,7.083,1.31
AL1-20240204-1142,2024-02-04 11:48:00,-230.0,736.6,22.71,1.6,7.321,1.614
AL1-20240204-1142,2024-02-04 11:48:20,-210.0,828.4,23.67,1.42,7.533,1.331
AL1-20240204-1142,2024-02-04 11:48:40,-190.0,937.8,22.81,1.24,7.829,1.24
AL1-20240204-1142,2024-02-04 11:49:00,-170.0,1035.2,20.98,1.06,8.19,1.591
AL1-20240204-1142,2024-02-04 11:49:20,-150.0,1115.2,21.06,1.02,8.267,1.501
AL1-20240204-1142,2024-02-04 11:49:40,-130.0,1183.8,20.89,0.97,8.375,1.482
AL1-20240204-1142,2024-02-04 11:50:00,-110.0,1268.5,20.26,0.88,8.612,1.401
AL1-20240204-1142,2024-02-04 11:50:20,-90.0,1333.1,21.39,0.96,8.379,1.416
AL1-20240204-1142,2024-02-04 11:50:40,-70.0,1359.3,19.0,0.86,8.723,1.621
AL1-20240204-1142,2024-02-04 11:51:00,-50.0,1416.9,17.83,0.8,8.957,1.754
AL1-20240204-1142,2024-02-04 11:51:20,-30.0,1450.5,17.77,0.81,8.933,1.72
AL1-20240204-1142,2024-02-04 11:51:40,-10.0,1485.5,16.62,0.74,9.232,1.742
AL1-20240204-1142,2024-02-04 11:52:00,10.0,1491.3,16.1,0.74,9.294,1.477
AL1-20240204-1142,2024-02-04 11:52:20,30.0,1513.0,16.92,0.79,9.069,1.413
AL1-20240204-1142,2024-02-04 11:52:40,50.0,1499.2,17.55,0.82,8.919,1.177
AL1-20240204-1142,2024-02-04 11:53:00,70.0,1516.5,15.11,0.71,9.499,1.257
AL1-20240204-1142,2024-02-04 11:53:20,90.0,1503.9,14.56,0.73,9.509,1.512
AL1-20240204-1142,2024-02-04 11:53:40,110.0,1494.8,14.93,0.75,9.403,1.451
AL1-20240204-1142,2024-02-04 11:54:00,130.0,1480.3,14.21,0.73,9.573,1.252
AL1-20240204-1142,2024-02-04 11:54:20,150.0,1482.3,15.75,0.83,9.104,1.088
AL1-20240204-1142,2024-02-04 11:54:40,170.0,1448.0,13.62,0.75,9.63,1.237
AL1-20240204-1142,2024-02-04 11:55:00,190.0,1436.7,14.18,0.78,9.434,1.415
AL1-20240204-1142,2024-02-04 11:55:20,210.0,1438.0,13.33,0.76,9.634,1.183
AL1-20240204-1142,2024-02-04 11:55:40,230.0,1412.3,13.26,0.78,9.613,1.33
AL1-20240204-1142,2024-02-04 11:56:00,250.0,1415.5,13.74,0.82,9.414,1.022
AL1-20240204-1142,2024-02-04 11:56:20,270.0,1376.2,12.85,0.77,9.706,1.214
AL1-20240204-1142,2024-02-04 11:56:40,290.0,1376.8,12.9,0.8,9.619,1.18
AL1-20240204-1142,2024-02-04 11:57:00,310.0,1363.2,13.43,0.85,9.397,1.026
AL1-20240204-1142,2024-02-04 11:57:20,330.0,1346.8,12.77,0.81,9.623,1.14
AL1-20240204-1142,2024-02-04 11:57:40,350.0,1329.9,13.26,0.84,9.468,0.945
AL1-20240204-1142,2024-02-04 11:58:00,370.0,1316.0,11.91,0.81,9.828,1.346
AL1-20240204-1142,2024-02-04 11:58:20,390.0,1286.2,14.07,0.95,9.077,0.636
AL1-20240204-1142,2024-02-04 11:58:40,410.0,1287.3,12.06,0.83,9.74,0.847
AL1-20240204-1142,2024-02-04 11:59:00,430.0,1273.2,12.65,0.89,9.473,0.801
AL1-20240204-1142,2024-02-04 11:59:20,450.0,1261.6,11.34,0.82,9.925,0.986
AL1-20240204-1142,2024-02-04 11:59:40,470.0,1251.0,11.52,0.82,9.885,1.443
AL1-20240204-1142,2024-02-04 12:00:00,490.0,1240.0,10.67,0.78,10.233,1.248
AL1-20240204-1142,2024-02-04 12:00:20,510.0,1225.7,11.35,0.86,9.854,0.402
AL1-20240204-1142,2024-02-04 12:00:40,530.0,1205.3,13.32,1.04,9.024,0.549
AL1-20240204-1142,2024-02-04 12:01:00,550.0,1187.9,11.64,0.96,9.559,0.522
AL1-20240204-1142,2024-02-04 12:01:20,570.0,1185.2,11.75,0.97,9.495,0.995
AL1-20240204-1142,2024-02-04 12:01:40,590.0,1146.2,10.86,0.94,9.793,0.761
AL1-20240204-1142,2024-02-04 12:02:00,610.0,1136.4,9.77,0.84,10.367,0.931
AL1-20240204-1142,2024-02-04 12:02:20,630.0,1133.7,9.46,0.83,10.505,0.795
AL1-20240204-1142,2024-02-04 12:02:40,650.0,1086.3,11.65,1.07,9.329,0.644
AL1-20240204-1142,2024-02-04 12:03:00,670.0,1100.9,11.26,1.01,9.56,0.478
AL1-20240204-1142,2024-02-04 12:03:20,690.0,1080.0,9.93,0.95,10.062,0.31
AL1-20240204-1142,2024-02-04 12:03:40,710.0,1054.0,10.1,0.97,9.978,0.26
AL1-20240204-1142,2024-02-04 12:04:00,730.0,1053.9,9.29,0.96,10.302,-0.247
AL1-20240204-1142,2024-02-04 12:04:20,750.0,1030.3,9.46,0.95,10.23,0.107
AL1-20240204-1142,2024-02-04 12:04:40,770.0,1011.3,7.86,0.79,11.308,1.127
AL1-20240204-1142,2024-02-04 12:05:00,790.0,987.2,8.53,0.93,10.675,1.487
AL1-20240204-1339,2024-02-04 13:44:20,-90.0,720.1,19.53,2.08,6.974,1.211
AL1-20240204-1339,2024-02-04 13:44:40,-70.0,794.3,21.98,2.13,6.809,1.584
AL1-20240204-1339,2024-02-04 13:45:00,-50.0,854.4,18.2,1.53,7.683,1.55
AL1-20240204-1339,2024-02-04 13:45:20,-30.0,914.2,16.78,1.45,7.908,1.822
AL1-20240204-1339,2024-02-04 13:45:40,-10.0,928.8,18.28,1.47,7.747,1.038
AL1-20240204-1339,2024-02-04 13:46:00,10.0,952.5,15.21,1.31,8.344,1.932
AL1-20240204-1339,2024-02-04 13:46:20,30.0,952.4,16.21,1.44,8.027,1.024
AL1-20240204-1339,2024-02-04 13:46:40,50.0,956.6,15.14,1.33,8.272,0.836
AL1-20240204-1339,2024-02-04 13:47:00,70.0,948.7,13.91,1.27,8.574,1.73
AL1-20240204-1339,2024-02-04 13:47:20,90.0,928.3,12.1,1.23,9.018,2.361
AL1-20240204-1339,2024-02-04 13:47:40,110.0,940.0,12.98,1.27,8.752,1.232
AL1-20240204-1339,2024-02-04 13:48:00,130.0,936.0,13.27,1.36,8.567,1.464
AL1-20240204-1339,2024-02-04 13:48:20,150.0,912.1,11.67,1.29,9.023,1.718
AL1-20240204-1339,2024-02-04 13:48:40,170.0,897.0,15.88,1.85,7.536,0.776
AL1-20240204-1339,2024-02-04 13:49:00,190.0,889.3,10.76,1.22,9.418,1.85
AL1-20240204-1552,2024-02-04 15:55:40,-70.0,683.5,17.27,2.0,7.235,1.278
AL1-20240204-1552,2024-02-04 15:56:20,-30.0,719.1,15.51,1.76,7.685,1.402
AL1-20240204-1552,2024-02-04 15:57:40,50.0,736.2,14.53,1.73,7.877,0.988
AL1-20240204-1622,2024-02-04 16:27:00,-650.0,828.5,18.06,2.32,7.118,1.207
AL1-20240204-1622,2024-02-04 16:27:20,-630.0,844.2,18.47,2.08,7.117,1.061
AL1-20240204-1622,2024-02-04 16:27:40,-610.0,867.2,20.42,2.31,6.805,1.174
AL1-20240204-1622,2024-02-04 16:28:00,-590.0,883.9,17.09,2.07,7.298,1.533
AL1-20240204-1622,2024-02-04 16:28:20,-570.0,892.4,17.61,1.76,7.545,1.214
AL1-20240204-1622,2024-02-04 16:28:40,-550.0,942.1,15.37,1.58,8.059,1.218
AL1-20240204-1622,2024-02-04 16:29:00,-530.0,953.1,18.97,1.87,7.322,0.636
AL1-20240204-1622,2024-02-04 16:29:20,-510.0,962.8,14.79,1.55,8.162,1.256
AL1-20240204-1622,2024-02-04 16:29:40,-490.0,962.2,18.79,1.77,7.429,0.983
AL1-20240204-1622,2024-02-04 16:30:00,-470.0,978.1,15.14,1.53,8.083,1.266
